Navn_x,Breddegrad_x,Lengdegrad_x,Organisasjonsnummer,Navn_y,Breddegrad_y,Lengdegrad_y,Aktornavn,StatusDescription,GodkjentEtterLov,_merge
,,,926155806,,,,"Heimdal Friskole, Kristen Grunnskole Heimdal",I drift,privatskoleloven,right_only
,,,994984608,,,,Helgen Montessoriskolelag,I drift,privatskoleloven,right_only
,,,918475990,,,,Helgådal Montessori SA,I drift,privatskoleloven,right_only
,,,985923051,,,,Hesnes Skole Montessoriskolen i Grimstad,I drift,privatskoleloven,right_only
,,,995287811,,,,Hildre Montessoriskule SA,I drift,privatskoleloven,right_only
,,,920187765,,,,Hjartdal Montessoriskule Sti,I drift,privatskoleloven,right_only
,,,995289636,,,,Hjellvik montessoriskule,I drift,privatskoleloven,right_only
,,,994010980,,,,Hjerleid Handverksskole AS,I drift,privatskoleloven,right_only
,,,911759500,,,,Hjuksebø Montessoriskole SA,I drift,privatskoleloven,right_only
,,,986236147,,,,Holmedal montessoriskule,I drift,privatskoleloven,right_only
,,,987098570,,,,Holmestrand Internasjonale Montessoriskole Sti,I drift,privatskoleloven,right_only
,,,992232137,,,,Hop videregående Skole AS,I drift,privatskoleloven,right_only
,,,996787389,,,,Hoppensprett Akademiet AS,I drift,privatskoleloven,right_only
,,,912360148,,,,Hoppensprett Akademiet Brårud AS,I drift,privatskoleloven,right_only
,,,913332482,,,,Hoppensprett Akademiet Vgs Jessheim AS,I drift,privatskoleloven,right_only
,,,987670843,,,,Horten Montessoriskole SA,I drift,privatskoleloven,right_only
,,,985864322,,,,Hosanger Montessoriskule Sti,I drift,privatskoleloven,right_only
,,,995262487,,,,Humanistskolen AS,I drift,privatskoleloven,right_only
,,,995312247,,,,Hundeidvik Privatskule AS,I drift,privatskoleloven,right_only
,,,920251730,,,,Hurdal Steinerskole AS,I drift,privatskoleloven,right_only
,,,913416988,,,,Indre Kåfjord barne- og ungdomsskole,I drift,privatskoleloven,right_only
,,,895262382,,,,Innfjorden Friskole SA,I drift,privatskoleloven,right_only
,,,996707393,,,,Jennestad montessoriskole,I drift,privatskoleloven,right_only
,,,881209942,,,,Justøy Skole - Montessoriskolen i Lillesand Sti,I drift,privatskoleloven,right_only
,,,987789948,,,,Jærtun Lutherske friskule,I drift,privatskoleloven,right_only
,,,994833499,,,,Kilebygda Montessoriskole SA,I drift,privatskoleloven,right_only
,,,998181712,,,,Kjølsdalen Montessoriskule SA,I drift,privatskoleloven,right_only
,,,915024165,,,,Kolbeinsvik montessoriskule,I drift,privatskoleloven,right_only
,,,920328687,,,,Kongsberg Steinerskole AS,I drift,privatskoleloven,right_only
,,,988982229,,,,Kongshaug Musikkgymnas AS,I drift,privatskoleloven,right_only
,,,915170064,,,,Kongshaugen Kristne grunnskole,I drift,privatskoleloven,right_only
,,,916575823,,,,Kongstun Kristne friskole,I drift,privatskoleloven,right_only
,,,918465855,,,,Kongsvinger Montessoriskole SA,I drift,privatskoleloven,right_only
,,,998169070,,,,Kragerøskjærgården montessoriskole,I drift,privatskoleloven,right_only
,,,827111392,,,,Kristelig gymnasium AS,I drift,privatskoleloven,right_only
,,,998182670,,,,Kristen Friskole AS,I drift,privatskoleloven,right_only
,,,911730359,,,,Kristen Friskole Klippen AS,I drift,privatskoleloven,right_only
,,,971541210,,,,Kristen videregående Skole Nordland Sti,I drift,privatskoleloven,right_only
,,,971574909,,,,Kristen videregående Skole Trøndelag,I drift,privatskoleloven,right_only
,,,980443191,,,,Krokeide videregående Skole AS,I drift,privatskoleloven,right_only
,,,996744485,,,,Kvalavåg Montessoriskole AS,I drift,privatskoleloven,right_only
,,,988982857,,,,Kvitsund gymnas AS,I drift,privatskoleloven,right_only
,,,989032321,,,,Kvs-Bygland AS,I drift,privatskoleloven,right_only
,,,989032402,,,,Kvs-Lyngdal AS,I drift,privatskoleloven,right_only
,,,911674270,,,,Lisleherad Montessoriskole SA,I drift,privatskoleloven,right_only
,,,877137082,,,,Ljabruskolen - Steinerskole for Elever Med Spesielle Behov Sti,I drift,privatskoleloven,right_only
,,,989213377,,,,Lukas videregående Skole AS,I drift,privatskoleloven,right_only
,,,888982302,,,,Lundeneset Vgs AS,I drift,privatskoleloven,right_only
,,,995316242,,,,Løkken Verk Montessoriskole SA,I drift,privatskoleloven,right_only
,,,884034582,,,,Lørenskog friskole,I drift,privatskoleloven,right_only
,,,985676593,,,,Markabygda Montessoriskole SA,I drift,privatskoleloven,right_only
,,,985024731,,,,Metis videregående AS,I drift,privatskoleloven,right_only
,,,989695959,,,,Moe skole,I drift,privatskoleloven,right_only
,,,976202376,,,,Mokollen Skole Adventkirkens Grunnskole i Sandefjord,I drift,privatskoleloven,right_only
,,,985160287,,,,Molde friskole,I drift,privatskoleloven,right_only
,,,996724255,,,,Momo Waldorfskole AS,I drift,privatskoleloven,right_only
,,,932753669,,,,Montessori Horten AS,I drift,privatskoleloven,right_only
,,,912363821,,,,Montessoriskolen Morgan AS,I drift,privatskoleloven,right_only
,,,898571122,,,,Møbelsnekkerskolen AS,I drift,privatskoleloven,right_only
,,,976201973,,,,Møllebakken skole,I drift,privatskoleloven,right_only
,,,913220846,,,,Møre barne- og Ungdomsskule Skodje AS,I drift,privatskoleloven,right_only
,,,993916005,,,,Narvik montessoriskole,I drift,privatskoleloven,right_only
,,,971526025,,,,Natur videregående Skole Sti,I drift,privatskoleloven,right_only
,,,915188702,,,,Neverdal Enspire Skole AS,I drift,privatskoleloven,right_only
,,,984396732,,,,Nidaros Idrettsungdomsskole Sti,I drift,privatskoleloven,right_only
,,,976202899,,,,Nidelven Skole Adventistsamfunnets Grunnskoler,I drift,privatskoleloven,right_only
,,,993908355,,,,Nord-Dønna Montessoriforening,I drift,privatskoleloven,right_only
,,,988978159,,,,Nordborg Skoler AS,I drift,privatskoleloven,right_only
,,,987770333,,,,Nordhordland Kristne grunnskole,I drift,privatskoleloven,right_only
,,,998060257,,,,Norges Realfagsgymnas Sandvika AS,I drift,privatskoleloven,right_only
,,,816667232,,,,Norges Realfagsungdomsskole Sandvika AS,I drift,privatskoleloven,right_only
,,,922123462,,,,Norges Toppidrettsgymnas Bergen AS,I drift,privatskoleloven,right_only
,,,916658052,,,,Norges Toppidrettsgymnas Bodø AS,I drift,privatskoleloven,right_only
,,,990598991,,,,Norges Toppidrettsgymnas Bærum AS,I drift,privatskoleloven,right_only
,,,990599084,,,,Norges Toppidrettsgymnas Geilo AS,I drift,privatskoleloven,right_only
,,,990599874,,,,Norges Toppidrettsgymnas Kongsvinger AS,I drift,privatskoleloven,right_only
,,,990599106,,,,Norges Toppidrettsgymnas Lillehammer AS,I drift,privatskoleloven,right_only
,,,991569081,,,,Norges Toppidrettsgymnas Tromsø AS,I drift,privatskoleloven,right_only
,,,916598645,,,,Norges Toppidrettsgymnas Ungdomsskole Asker AS,I drift,privatskoleloven,right_only
,,,922123470,,,,Norges Toppidrettsgymnas Ungdomsskole Bergen AS,I drift,privatskoleloven,right_only
,,,916658184,,,,Norges Toppidrettsgymnas Ungdomsskole Bodø AS,I drift,privatskoleloven,right_only
,,,990599068,,,,Norges Toppidrettsgymnas Ungdomsskole Bærum AS,I drift,privatskoleloven,right_only
,,,915231160,,,,Norges Toppidrettsgymnas Ungdomsskole Kongsvinger AS,I drift,privatskoleloven,right_only
,,,915193110,,,,Norges Toppidrettsgymnas Ungdomsskole Lillehammer AS,I drift,privatskoleloven,right_only
,,,815211162,,,,Norges Toppidrettsgymnas Ungdomsskole Tromsø AS,I drift,privatskoleloven,right_only
,,,913307534,,,,Norheim Vgs AS,I drift,privatskoleloven,right_only
,,,998191459,,,,Norlights International School Oslo AS,I drift,privatskoleloven,right_only
,,,995320266,,,,Norlights Montessoriskole Drammen AS,I drift,privatskoleloven,right_only
,,,913416333,,,,Norlights Montessoriskole Stavanger AS,I drift,privatskoleloven,right_only
,,,989099736,,,,Oasen Skole Birkelid AS,I drift,privatskoleloven,right_only
,,,927150646,,,,Oasen Skole Grenland AS,I drift,privatskoleloven,right_only
,,,911739410,,,,Oasen Skole Mandal AS,I drift,privatskoleloven,right_only
,,,997912950,,,,Oasen Skole Strømme AS,I drift,privatskoleloven,right_only
,,,918462201,,,,Oasen Skole Vennesla AS,I drift,privatskoleloven,right_only
,,,913416058,,,,Oasen Skole Vågsbygd AS,I drift,privatskoleloven,right_only
,,,976261011,,,,Oasen videregående Skole AS,I drift,privatskoleloven,right_only
,,,887091552,,,,Oks Friskole Sti,I drift,privatskoleloven,right_only
,,,998124115,,,,Olavsborg Kristne skole,I drift,privatskoleloven,right_only
,,,911726548,,,,Opdøl Montessoriskole AS,I drift,privatskoleloven,right_only
,,,980879194,,,,Oslo By Steinerskole Sti,I drift,privatskoleloven,right_only
,,,954997332,,,,Oslo private gymnasium AS,I drift,privatskoleloven,right_only
,,,919193298,,,,Otto Treider private gymnas AS,I drift,privatskoleloven,right_only
,,,911724561,,,,Overhalla Montessoriskole SA,I drift,privatskoleloven,right_only
,,,912155528,,,,Plus-Skolen AS,I drift,privatskoleloven,right_only
,,,990586055,,,,Reisa montessoriskole,I drift,privatskoleloven,right_only
,,,916231539,,,,Ringerike Montessori AS,I drift,privatskoleloven,right_only
,,,971541865,,,,Ringerike Steinerskole Sti,I drift,privatskoleloven,right_only
,,,915018084,,,,Romerike International School Sti,I drift,privatskoleloven,right_only
,,,976202961,,,,Rosendal skole,I drift,privatskoleloven,right_only
,,,971523212,,,,Rudolf Steinerskolen Lørenskog Sti,I drift,privatskoleloven,right_only
,,,971561335,,,,Rudolf Steinerskolen i Bergen Sti,I drift,privatskoleloven,right_only
,,,971526246,,,,Rudolf Steinerskolen i Oslo Sti,I drift,privatskoleloven,right_only
,,,971526459,,,,Ryenberget skole,I drift,privatskoleloven,right_only
,,,U90099004,SHAPE International School,50.5034862,3.978684899999962,SHAPE International School,I drift,privatskoleloven,both
,,,987649275,,,,Samfundets Skole Dvergsnes AS,I drift,privatskoleloven,right_only
,,,974917475,,,,Samfundets Skole Egersund,I drift,privatskoleloven,right_only
,,,987649283,,,,Samfundets Skole Oftenes AS,I drift,privatskoleloven,right_only
,,,987649348,,,,Samfundets Skole Sentrum AS,I drift,privatskoleloven,right_only
,,,989066374,,,,Sandnes Friskole AS,I drift,privatskoleloven,right_only
,,,915098584,,,,Sandnes International School AS,I drift,privatskoleloven,right_only
,,,995277174,,,,Sandstrand Montessoriforening,I drift,privatskoleloven,right_only
,,,995197146,,,,Sandøya montessoriskole,I drift,privatskoleloven,right_only
,,,977090547,,,,Sauar friskole,I drift,privatskoleloven,right_only
,,,924405422,,,,Seiersborg videregående Skole Follo AS,I drift,privatskoleloven,right_only
,,,989632302,,,,Seiersborg videregående Skole Fredrikstad AS,I drift,privatskoleloven,right_only
,,,913417208,,,,Senja montessoriskole,I drift,privatskoleloven,right_only
,,,998560594,,,,Signo Grunn- og videregående Skole AS,I drift,privatskoleloven,right_only
,,,871496722,,,,Skagerak International School Sti,I drift,privatskoleloven,right_only
,,,821230462,,,,"Skagerak International School, Tønsberg AS",I drift,privatskoleloven,right_only
,,,924346884,,,,Skarnsundet Montessoriskole SA,I drift,privatskoleloven,right_only
,,,977456436,,,,Skauen Kristelige skole,I drift,privatskoleloven,right_only
,,,911584891,,,,Skaugdalen Montessoriskole SA,I drift,privatskoleloven,right_only
,,,996129799,,,,Skodvin montessoriskule,I drift,privatskoleloven,right_only
,,,989268767,,,,Snåsa Montessoriskole SA,I drift,privatskoleloven,right_only
,,,987372583,,,,Solør Montessoriskole SA,I drift,privatskoleloven,right_only
,,,971561688,,,,St Paul skole,I drift,privatskoleloven,right_only
,,,971527056,,,,St Sunniva skole,I drift,privatskoleloven,right_only
,,,987480092,,,,St. Eystein skole,I drift,privatskoleloven,right_only
,,,971548215,,,,St. Franciskus skole,I drift,privatskoleloven,right_only
,,,916593473,,,,St. Paul gymnas,I drift,privatskoleloven,right_only
,,,971522585,,,,Steinerskolen i Asker Sti,I drift,privatskoleloven,right_only
,,,981381300,,,,Steinerskolen i Hurum Sti,I drift,privatskoleloven,right_only
,,,971554940,,,,Steinerskolen i Stavanger Sti,I drift,privatskoleloven,right_only
,,,971521430,,,,Steinerskolen i Tromsø Sti,I drift,privatskoleloven,right_only
,,,984179782,,,,Steinerskolen i Trondheim,I drift,privatskoleloven,right_only
,,,979747187,,,,Steinerskolen i Vestfold Sti,I drift,privatskoleloven,right_only
,,,971520787,,,,Steinerskolen i Ålesund,I drift,privatskoleloven,right_only
,,,993926698,,,,Steinsfjorden Montessoriskole SA,I drift,privatskoleloven,right_only
,,,914544238,,,,Stette Friskule SA,I drift,privatskoleloven,right_only
,,,996548562,,,,Stiftelsen Arendal International School,I drift,privatskoleloven,right_only
,,,998152011,,,,Stiftelsen Asker International School,I drift,privatskoleloven,right_only
,,,930733555,,,,Stiftelsen Bodø International School,I drift,privatskoleloven,right_only
,,,976320409,,,,Stiftelsen Bærum montessoriskole,I drift,privatskoleloven,right_only
,,,986775560,,,,Stiftelsen Davinci montessoriskole,I drift,privatskoleloven,right_only
,,,971546417,,,,Stiftelsen Hedemarken Friskole -Ungdom i Oppdrags Kristne grunnskole,I drift,privatskoleloven,right_only
,,,958295774,,,,Stiftelsen Heltberg,I drift,privatskoleloven,right_only
,,,985922292,,,,Stiftelsen International School Telemark,I drift,privatskoleloven,right_only
,,,984545576,,,,Stiftelsen Kongsberg International School,I drift,privatskoleloven,right_only
,,,971534818,,,,Stiftelsen Lillehammer steinerskole,I drift,privatskoleloven,right_only
,,,983409946,,,,Stiftelsen Lyngdal Kristne grunnskole,I drift,privatskoleloven,right_only
,,,842872022,,,,Stiftelsen Maritim videregående Skole Sørlandet,I drift,privatskoleloven,right_only
,,,979554796,,,,Stiftelsen Montessoriskolen Lyse,I drift,privatskoleloven,right_only
,,,982671779,,,,Stiftelsen Montessoriskolen i Bergen,I drift,privatskoleloven,right_only
,,,976596471,,,,"Stiftelsen Møre barne- og Ungdomsskule, Ålesund",I drift,privatskoleloven,right_only
,,,987017708,,,,Stiftelsen Møre barne- og ungdomsskule,I drift,privatskoleloven,right_only
,,,884715342,,,,Stiftelsen Nyskolen i Oslo,I drift,privatskoleloven,right_only
,,,971537779,,,,Stiftelsen Oslo montessoriskole,I drift,privatskoleloven,right_only
,,,971521767,,,,Stiftelsen Rudolf Steinerskolen Nesodden,I drift,privatskoleloven,right_only
,,,958087322,,,,Stiftelsen Rudolf Steinerskolen i Moss,I drift,privatskoleloven,right_only
,,,821085942,,,,Stiftelsen Slottsfjellet videregående steinerskole,I drift,privatskoleloven,right_only
,,,977505240,,,,Stiftelsen Soon sjøskole,I drift,privatskoleloven,right_only
,,,988832480,,,,Stiftelsen Stavanger Kristne grunnskole,I drift,privatskoleloven,right_only
,,,971520620,,,,Stiftelsen Steinerskolen Gjøvik-Toten,I drift,privatskoleloven,right_only
,,,985458030,,,,Stiftelsen Steinerskolen i Arendal,I drift,privatskoleloven,right_only
,,,971521902,,,,Stiftelsen Steinerskolen i Bærum,I drift,privatskoleloven,right_only
,,,971519479,,,,Stiftelsen Steinerskolen i Fredrikstad,I drift,privatskoleloven,right_only
,,,871556032,,,,Stiftelsen Steinerskolen i Haugesund,I drift,privatskoleloven,right_only
,,,962222013,,,,Stiftelsen Steinerskolen i Indre Østfold,I drift,privatskoleloven,right_only
,,,971539615,,,,Stiftelsen Steinerskolen i Kristiansand,I drift,privatskoleloven,right_only
,,,976756118,,,,Stiftelsen Steinerskolen i Ås,I drift,privatskoleloven,right_only
,,,971533110,,,,Stiftelsen Steinerskolen på Hedemarken,I drift,privatskoleloven,right_only
,,,982185831,,,,Stiftelsen Steinerskolen på Rotvoll,I drift,privatskoleloven,right_only
,,,977154677,,,,Stiftelsen Steinerskolen på Skjold,I drift,privatskoleloven,right_only
,,,984616570,,,,Stiftelsen Steinerskolen på Øvre Romerike/Eidsvoll,I drift,privatskoleloven,right_only
,,,886879822,,,,Stiftelsen Steinkjer montessoriskole,I drift,privatskoleloven,right_only
,,,988113107,,,,Stiftelsen Telemark Toppidrett gymnas,I drift,privatskoleloven,right_only
,,,992939257,,,,Stiftelsen Tromsø International School,I drift,privatskoleloven,right_only
,,,886847262,,,,Stiftelsen Trondheim International School,I drift,privatskoleloven,right_only
,,,989229575,,,,"Stiftelsen Trondheim Kristne Grunnskole, tomasskolen",I drift,privatskoleloven,right_only
,,,916607539,,,,Stiftelsen Trondheim montessoriskole,I drift,privatskoleloven,right_only
,,,889710632,,,,Stiftelsen Vollen montessoriskole,I drift,privatskoleloven,right_only
,,,977506832,,,,Stiftelsen for Steinerskolen på Nordstrand,I drift,privatskoleloven,right_only
,,,989568116,,,,Stiftelsen Østerbo videregående skole,I drift,privatskoleloven,right_only
,,,920223451,,,,Stiftinga Tuddal montessoriskule,I drift,privatskoleloven,right_only
,,,986033068,,,,Stiftinga Venabygd grendeskule,I drift,privatskoleloven,right_only
,,,998189616,,,,Stord Kristne Skule AS,I drift,privatskoleloven,right_only
,,,911749378,,,,Strandvik Vekst AS,I drift,privatskoleloven,right_only
,,,971563184,,,,Straumfjordnes skole,I drift,privatskoleloven,right_only
,,,988978116,,,,Sygna Vgs AS,I drift,privatskoleloven,right_only
,,,896718932,,,,Sørhåland Barneskole AS,I drift,privatskoleloven,right_only
,,,922079129,,,,Telemark Toppidrett Ungdomsskole Porsgrunn AS,I drift,privatskoleloven,right_only
,,,915761968,,,,Telemark Toppidrett Ungdomsskole Skien AS,I drift,privatskoleloven,right_only
,,,U90099013,The Norwegian School in London,51.4162875,-0.2264913999999862,The Norwegian School in London,I drift,privatskoleloven,both
,,,995277727,,,,Tinn Montessoriskole SA,I drift,privatskoleloven,right_only
,,,969738376,,,,Tomb videregående skole,I drift,privatskoleloven,right_only
,,,976202651,,,,Torderød Skole Adventistkirkens grunnskole,I drift,privatskoleloven,right_only
,,,991978100,,,,Torvikbukt Skule SA,I drift,privatskoleloven,right_only
,,,888806512,,,,Toten montessoriskole,I drift,privatskoleloven,right_only
,,,922139903,,,,Tresfjord Friskule SA,I drift,privatskoleloven,right_only
,,,913383745,,,,Trondheim Idrettsungdomsskole AS,I drift,privatskoleloven,right_only
,,,931497235,,,,Trondheim Toppidrettsgymnas Sti,I drift,privatskoleloven,right_only
,,,989041827,,,,Tryggheim Skular AS,I drift,privatskoleloven,right_only
,,,911604736,,,,Tryggheim Strand AS,I drift,privatskoleloven,right_only
