Navn_x,Breddegrad_x,Lengdegrad_x,Organisasjonsnummer,Navn_y,Breddegrad_y,Lengdegrad_y,Aktornavn,StatusDescription,GodkjentEtterLov,_merge
Stiftelsen Den Tysk-Norske skolen i Oslo avd grunnskole og videregående,59.93637,10.75914,930591548,Stiftelsen Den Tysk-Norske skolen i Oslo avd grunnskole og videregående,59.93637,10.75914,,,,left_only
,,,930733881,Skien steinerskole AS,59.23088,9.59315,,,,left_only
,,,930748137,Stiftelsen Bodø International School,0.0,0.0,,,,left_only
,,,930771899,Sandstrand Montessoriforening,68.6816,16.80358,,,,left_only
,,,931451219,Hans Nielsen Hauge grunnskole Oslo,0.0,0.0,,,,left_only
Trondheim Toppidrettsgymnas Sti,63.44256,10.45906,931570994,,,,,,,left_only
Akademiet Vgs Sandvika AS,59.89269,10.52632,931696068,,,,,,,left_only
,,,932903717,Grimstad International School AS,58.33753,8.58078,,,,left_only
,,,932953765,Montessori Horten AS,59.43541,10.42986,,,,left_only
,,,933131165,Drøbak Montessori barneskole AS,59.66306,10.63498,,,,left_only
,,,933703630,Akademiet Realfagsungdomsskole Ålesund AS,62.4734,6.15031,,,,left_only
,,,933874583,Frikult grunnskole AS,66.33781,14.09213,,,,left_only
,,,935206693,Akademiet ungdomsskole Asker AS,59.82552,10.45233,,,,left_only
,,,935208033,Akademiet ungdomsskole Drammen AS,59.73982,10.18141,,,,left_only
,,,935814111,Val Skoler AS avd grunnskole,64.78575,11.42312,,,,left_only
,,,971427418,Skauen Kristelige skole,59.19426,9.63099,,,,left_only
Plus-Skolen AS Yrkesfaglig Utdanning,59.20444,10.95422,971627018,,,,,,,left_only
,,,971638982,Stiftelsen steinerskolen i Indre Østfold,59.58636,11.12423,,,,left_only
Skoleskipet Gann,0.0,0.0,971815817,,,,,,,left_only
Bybroen videregående skole AS,63.429,10.40036,971816279,,,,,,,left_only
Haugesund Toppidrettsgymnas AS,59.42576,5.27431,971816287,Haugesund Toppidrettsgymnas AS,59.42576,5.27431,,,,left_only
Otto Treider private gymnas AS,59.91121,10.73838,971816309,,,,,,,left_only
Wang videregående Skole/ Wang Toppidrett,59.91474,10.72427,971816317,,,,,,,left_only
Troens Bevis Bibel og Misjons Institutt,59.92385,10.73946,971833793,,,,,,,left_only
Oslo International School,59.91956,10.58345,971845635,Oslo International School,59.91956,10.58345,,,,left_only
Oslo private gymnasium AS,59.92345,10.73179,972286389,,,,,,,left_only
Norsk yrkesdykkerskole AS,0.0,0.0,972286745,,,,,,,left_only
Bibelskolen Oslo Kristne senter,59.98172,11.01538,973067516,,,,,,,left_only
,,,973073214,Steinerskolen i Fredrikstad,59.26662,10.9979,,,,left_only
,,,973075373,Steinerskolen i Moss Grunnskole/Adm,59.46358,10.69718,,,,left_only
Steinerskolen i Moss videregående skole,59.46358,10.69718,973075381,,,,,,,left_only
,,,973076914,Rudolf steinerskolen stiftelsen avd Undervisning,59.84457,10.67416,,,,left_only
Ansgar bibelskole AS,58.18298,8.08403,973112376,,,,,,,left_only
,,,973125508,Steinerskolen på Hedemarken avd grunnskolen Ottestad,60.77756,11.1034,,,,left_only
,,,973131621,Tønsberg Montessori skole Sti,59.33172,10.42432,,,,left_only
,,,973141791,Steinerskolen i Vestfold,59.23991,10.39467,,,,left_only
Slottsfjellet videregående,59.27051,10.40571,973141805,,,,,,,left_only
Kvs-Lyngdal AS,58.12425,7.05024,973149776,,,,,,,left_only
Tryggheim vidaregåande skule,58.67356,5.63596,973157221,,,,,,,left_only
Rudolf steinerskolen i Bergen skolen,60.34368,5.34308,973159232,Rudolf steinerskolen i Bergen skolen,60.34368,5.34308,,,,left_only
,,,973159658,Foreningen Danielsen ungdomsskole Bergen,60.39201,5.33508,,,,left_only
,,,973255428,Ekrehagen skole Adventistsamfunnets Grunnskoler,0.0,0.0,,,,left_only
Vinterlandbruksskulen på Jæren Sti,58.76159,5.64889,973255509,,,,,,,left_only
Tyrifjord videregående skole,60.07095,10.16954,973255754,,,,,,,left_only
,,,973358502,Birralee International School Trondheim AS avd skole,63.42701,10.39013,,,,left_only
Bibelskolen i Grimstad,58.31169,8.56593,973388436,,,,,,,left_only
Blå Kors videregående skole Øvrebø AS,58.2877,7.87645,973391100,,,,,,,left_only
,,,973443143,Steinerskolen Ålesund,62.46194,6.26629,,,,left_only
,,,973448889,Stiftelsen steinerskolen på Skjold,60.31017,5.32901,,,,left_only
Strykejernet kunstskole AS,59.92035,10.75279,973449990,,,,,,,left_only
Steinerskolen på Skjold Helseped Avdeling,60.31017,5.32901,973465112,Steinerskolen på Skjold Helseped Avdeling,60.31017,5.32901,,,,left_only
Ljabruskolen - steinerskole for Elever Med Spesielle Behov Sti,59.8499,10.80442,973465139,,,,,,,left_only
,,,973465147,Ringerike steinerskole Sti,60.20934,10.37506,,,,left_only
,,,973477579,Gamleveien skole,58.45701,6.01225,,,,left_only
Skagerak International School Sti,59.12004,10.23137,973488783,Skagerak International School Sti,59.12004,10.23137,,,,left_only
,,,973488910,Oslo montessoriskole,59.96375,10.69312,,,,left_only
Kristen videregående skole Nordland Sti,66.19877,13.03525,973494694,,,,,,,left_only
,,,973501186,Steinerskolen i Ås,59.68657,10.81147,,,,left_only
,,,973511017,Vikten skole,68.13873,13.3127,,,,left_only
,,,973556932,Oks friskole Sti,59.9815,11.01479,,,,left_only
Lukas videregående skole AS,63.43896,10.48351,973638416,,,,,,,left_only
Helsepedagogisk steinerskole på Hedemarken,60.77756,11.1034,973670646,,,,,,,left_only
Acta bibelskole,58.95488,5.69944,973798995,,,,,,,left_only
Credo bibelskole,60.33899,5.32024,973840991,,,,,,,left_only
,,,973915878,Moe skole,59.14296,10.19795,,,,left_only
,,,973915886,Bjerkely skole,59.38501,10.36491,,,,left_only
,,,973915908,Granly skole,59.29085,10.41781,,,,left_only
,,,973935828,Straumfjordnes skole,69.86909,21.21667,,,,left_only
Bergen bibelskole Sti,60.37804,5.35595,973937979,,,,,,,left_only
Kvitsund gymnas,59.38135,8.52013,974085062,,,,,,,left_only
,,,974117045,St Paul skole,60.38879,5.32358,,,,left_only
,,,974117053,Samfundets skole Sentrum,58.1499,7.99474,,,,left_only
,,,974117061,St. Franciskus skole,58.45792,8.76531,,,,left_only
,,,974117088,St Sunniva skole avd Undervisning,59.91878,10.74521,,,,left_only
Rudolf steinerskolen i Oslo Sti,59.94917,10.65886,974117096,Rudolf steinerskolen i Oslo Sti,59.94917,10.65886,,,,left_only
Tomb videregående skole,59.32111,10.81228,974117290,,,,,,,left_only
Stiftelsen Maritim videregående skole Sørlandet,58.14923,8.03194,974117371,,,,,,,left_only
Nordborg Vgs,69.22912,17.99658,974117703,,,,,,,left_only
Vestborg Vgs,62.30856,6.91996,974117711,,,,,,,left_only
Drottningborg Vgs AS,58.34851,8.64152,974117738,,,,,,,left_only
Kristelig gymnasium AS videregående skole,59.924,10.72948,974117797,,,,,,,left_only
Framnes Kristne vidaregåande skule,60.3498,6.18418,974117959,,,,,,,left_only
Kongshaug Musikkgymnas,60.15129,5.38534,974117967,,,,,,,left_only
,,,974122898,Steinerskolen i Bærum Grunnskoleundervisning,59.93,10.60565,,,,left_only
,,,974127016,Steinerskolen i Trondheim grunnskole,0.0,0.0,,,,left_only
Bibelskolen Bildøy,60.34462,5.11735,974135604,,,,,,,left_only
Val Skoler AS avd Vgs,64.78575,11.42312,974139790,,,,,,,left_only
,,,974146371,Steinerskolen i Haugesund,59.41864,5.29963,,,,left_only
Kristen videregående skole Trøndelag,63.3601,10.3816,974149699,,,,,,,left_only
Øya videregående skole,63.23681,10.27536,974149966,Øya videregående skole,63.23681,10.27536,,,,left_only
Sygna Vgs,61.20767,6.52918,974151537,,,,,,,left_only
,,,974154307,Steinerskolen Stavanger grunnskole,58.93885,5.73421,,,,left_only
Seiersborg videregående skole Fredrikstad AS,59.27328,11.01803,974158876,,,,,,,left_only
,,,974175762,Stiftelsen Lillehammer steinerskole,61.09985,10.42448,,,,left_only
Norges Toppidrettsgymnas Geilo AS,60.53654,8.22571,974176122,,,,,,,left_only
,,,974180022,Steinerskolen i Asker skole,59.86135,10.49502,,,,left_only
,,,974180030,Steinerskolen Gjøvik-Toten,60.78819,10.69987,,,,left_only
International School Of Stavanger avd Undervisning,58.95005,5.65417,974180693,International School Of Stavanger avd Undervisning,58.95005,5.65417,,,,left_only
,,,974185385,Steinerskolen i Hurum Sti,59.63306,10.4958,,,,left_only
,,,974187442,International School Of Bergen avd skole,60.2948,5.28091,,,,left_only
Heltberg private gymnas,59.9491,10.73242,974192020,,,,,,,left_only
,,,974223384,Stiftelsen montessoriskolen i Bergen,60.34414,5.28364,,,,left_only
,,,974309424,Bergen Kristne grunnskole,60.33899,5.32024,,,,left_only
Hop videregående skole AS,60.46604,5.222,974312441,,,,,,,left_only
Tveit vidaregåande skule Sti,59.34455,5.79518,974313804,,,,,,,left_only
Natur videregående skole Sti,59.9362,10.88051,974714426,,,,,,,left_only
Stiftelsen Østerbo videregående skole,59.23161,11.47543,974826704,,,,,,,left_only
,,,975013286,Kristelig gymnasium AS grunnskole,59.924,10.72948,,,,left_only
Steinerskolen i Trondheim videregående skole,0.0,0.0,975014894,,,,,,,left_only
Steinerskolen i Bærum videregående Opplæring,59.93,10.60565,975015785,,,,,,,left_only
Steinerskolen i Stavanger videregående skole,58.93885,5.73421,975037436,,,,,,,left_only
Lycee Francais Rene Cassin avd Vidregående skole,59.91702,10.71729,975051293,,,,,,,left_only
,,,975079368,Samfundets skole Egersund,58.44527,6.00466,,,,left_only
,,,975079465,Ryenberget skole,59.89883,10.80234,,,,left_only
Bibelskolen i Trondheim Sti,63.42862,10.39237,975146960,,,,,,,left_only
Evangeliesenterets bibelskole,59.46509,10.81341,975212491,,,,,,,left_only
,,,975286444,Bindalseidet skole SA,65.12693,12.23195,,,,left_only
,,,975358666,Vårtun Kristne oppvekstsenter SA,63.74062,11.25154,,,,left_only
,,,975828867,Elihu Kristne grunnskole,59.26836,10.44366,,,,left_only
,,,975934993,Drøbak Montessori ungdomsskole AS,59.67192,10.6352,,,,left_only
,,,976202422,Møllebakken skole,60.37813,5.33904,,,,left_only
,,,976207076,Rosendal skole,59.74988,10.02568,,,,left_only
,,,976207130,Østmarka skole,59.89037,10.85275,,,,left_only
,,,976207173,Mokollen skole,59.14516,10.21145,,,,left_only
,,,976207270,Vatneli skole,58.8592,5.77235,,,,left_only
,,,976207289,Torderød skole Adventistkirkens grunnskole,59.43483,10.63914,,,,left_only
,,,976207815,Adventkirken skole Nidelven,63.42554,10.39062,,,,left_only
,,,976210743,Engesvea barne- og ungdomsskole,61.09497,10.48371,,,,left_only
,,,976429184,Stiftelsen Bærum montessoriskole,59.90689,10.57955,,,,left_only
,,,976831055,Vinnes friskule,60.15304,5.58636,,,,left_only
,,,976939190,Lycee Francais Rene Cassin Doslo,59.91702,10.71729,,,,left_only
,,,977209234,Sauar friskole,59.41963,9.28063,,,,left_only
,,,977509777,Steinerskolen på Nordstrand,59.86193,10.79022,,,,left_only
Steinerskolen på Hedemarken avd videregående skole,0.0,0.0,978664067,,,,,,,left_only
,,,979668066,Hedemarken friskole,60.80144,11.30444,,,,left_only
,,,979718403,Stiftelsen montessoriskolen Lyse,59.93125,10.6429,,,,left_only
,,,979984766,Bjørkly skole,64.41061,11.47474,,,,left_only
,,,980203883,Forus friskole - Bus,58.88313,5.73925,,,,left_only
,,,981077997,Nordhordland Kristne grunnskole,60.5645,5.2435,,,,left_only
Oslo By steinerskole Sti,0.0,0.0,981089065,Oslo By steinerskole Sti,0.0,0.0,,,,left_only
,,,981522028,Samfundets skole Oftenes,58.07471,7.75758,,,,left_only
,,,981522036,Samfundets skole Dvergsnes,58.13895,8.07568,,,,left_only
,,,981607228,Vollan skole,62.57551,9.63438,,,,left_only
,,,981668383,Lørenskog friskole,0.0,0.0,,,,left_only
,,,982011019,Alta Kristne grunnskole SA,69.96777,23.35157,,,,left_only
,,,982067405,Danielsen barne- og ungdomsskule Sotra,60.35229,5.13476,,,,left_only
,,,982163277,Ørsnes privatskole,68.20048,14.39505,,,,left_only
Stiftelsen steinerskolen Rotvoll,63.43889,10.48563,982196574,Stiftelsen steinerskolen Rotvoll,63.43889,10.48563,,,,left_only
,,,982722861,"Stiftelsen Trondheim Kristne Grunnskole, tomasskolen",63.42935,10.41373,,,,left_only
Akademiet Kristiansand AS,58.15325,8.02905,982759846,,,,,,,left_only
,,,982794374,St Eysteins skole,67.27572,14.36665,,,,left_only
,,,982944538,Justøy skole - montessoriskolen i Lillesand Sti,58.20972,8.36429,,,,left_only
,,,982944635,Stavanger Kristne grunnskole,58.96039,5.69091,,,,left_only
,,,983451039,Fagerhaug Kristne skole SA,63.47125,10.94562,,,,left_only
,,,983522181,Hamar Montessori skole Sti,60.82068,11.04787,,,,left_only
,,,983681123,Stiftelsen Lyngdal Kristne grunnskole,58.12961,7.06781,,,,left_only
,,,984095961,Øvergård montessoriskole,69.02122,19.44755,,,,left_only
,,,984666675,Stiftelsen Vollen montessoriskole,0.0,0.0,,,,left_only
Stiftelsen Spin Off Forstudium,0.0,0.0,984777604,,,,,,,left_only
Akademiet Vgs Ålesund AS,62.4734,6.15031,984800746,,,,,,,left_only
Metis videregående AS,60.38746,5.33138,985076308,,,,,,,left_only
,,,985193495,Molde friskole,62.73742,7.12167,,,,left_only
,,,985315469,Oasen skole Birkelid AS,58.12668,7.84612,,,,left_only
