Navn,Lengdegrad,Breddegrad
Stiftelsen Kongsberg International School,9.64268,59.67608                          # Hentet fra Google Maps
Nyskolen i Oslo grunnskole,10.83882,59.86345
Steinerskolen på Eidsvoll,11.24116,60.28651
Nidaros idrettsungdomsskole Sti,10.38058,63.36776
Buen barne- og ungdomsskole,10.68449,59.41884
"Stiftelsen Møre barne- og Ungdomsskule, Ålesund",6.39917,62.43412
Tyrifjord barne- og ungdomsskole,10.17166,60.06845
Stiftelsen steinerskolen i Kristiansand,8.01523,58.15918
Steinerskolen i Tromsø Sti,18.93474,69.64095
Rudolf steinerskolen Lørenskog Sti,10.93832,59.91315
Hans Nielsen Hauges grunnskole Follo AS,10.80432,59.81297
"Skagerak International School, Tønsberg AS",10.40571,59.27051
Tverlandet montessoriskole SA,12.91505,66.01369
Wang Romerike AS,10.95199,59.94674
Discovery International School AS,10.36781,60.20555
Biss Gausel Sti,5.73376,58.89721
Oasen skole Vågsbygd AS,7.94784,58.1197
Norges Realfagsungdomsskole Sandvika AS,10.52295,59.89667
Kongstun Kristne friskole,5.8355,58.77827
Wang Ung Sandnes AS,5.72297,58.85992
Children's International School Moss AS,10.66851,59.43952
Hjuksebø montessoriskole SA,9.3331,59.50849
