Navn,Lengdegrad,Breddegrad
Stiftelsen steinerskolen i Indre Østfold,11.12423,59.58636
Stiftelsen steinerskolen i Kristiansand,8.01523,58.15918
Stiftelsen steinerskolen på Skjold,5.32901,60.31017
Stiftinga Tuddal montessoriskule,8.78749,59.75579
Stord Kristne skule AS,5.485,59.77872
Strandvik Vekst AS,5.66499,60.15934
Straumfjordnes skole,21.21667,69.86909
Sørhåland barneskole AS,5.2353,59.15524
Telemark Toppidrett ungdomsskole Porsgrunn AS,9.67016,59.13965
Telemark Toppidrett ungdomsskole Skien AS,9.5906,59.21222
The Norwegian School in London,-0.2264913999999862,51.4162875
Tinn montessoriskole SA,8.81899,60.0477
Torderød skole Adventistkirkens grunnskole,10.63914,59.43483
Torvikbukt skule SA,7.85887,62.94227
Toten montessoriskole,10.73428,60.59788
Tresfjord Enspire skule,7.12746,62.51939
Trondheim Montessori,10.48351,63.43896
Trondheim idrettsungdomsskole AS,10.45906,63.44256
Tryggheim Strand AS,5.92013,59.06734
Tryggheim ungdomsskule,5.63596,58.67356
Trysil montessoriskole SA,12.49708,61.13513
Tverlandet montessoriskole SA,12.91505,66.01369
Tyrifjord barne- og ungdomsskole,10.17166,60.06845
Tønsberg Montessori skole Sti,10.42432,59.33172
Ulvestad barneskule AS,5.9314,62.16595
Val Skoler AS avd grunnskole,11.42312,64.78575
Valdres montessoriskule SA,9.10145,60.99862
Vatneli skole,5.77235,58.8592
Velledalen montessoriskule AS,6.64578,62.29167
Venabygd montessoriskole,10.0497,61.59399
Vigmostad skole,7.33742,58.20192
Vike montessoriskule SA,7.1489,62.61915
Vikten skole,13.3127,68.13873
Vinnes friskule,5.58636,60.15304
Voll skole AS,9.83776,62.87648
Vollan skole,9.63438,62.57551
Vårtun Kristne oppvekstsenter SA,11.25154,63.74062
Wang Fredrikstad AS,10.92896,59.21256
Wang Hamar AS,11.03811,60.80167
Wang Romerike AS,10.95199,59.94674
Wang Tønsberg AS,10.41573,59.29502
Wang Ung Follo AS,10.82348,59.79930                                                 # Hentet fra Google Maps
Wang Ung Oslo AS,10.79318,59.92682
Wang Ung Sandefjord AS,10.1848,59.1486
Wang Ung Sandnes AS,5.72297,58.85992
Wang Ung Stavanger AS,5.70006,58.9546
Åmot montessoriskole SA,11.46301,61.30173
Åmås friskule,6.19611,62.18221
Åse montessoriskole,15.80737,69.01578
Ølve montessoriskule SA,5.81452,60.01263
Ørsnes privatskole,14.39505,68.20048
Østmarka skole,10.85275,59.89037
Øvergård montessoriskole,19.44755,69.02122
