Aktornavn,StatusDescription,Orgnummer,GodkjentEtterLov
Norges Toppidrettsgymnas Ungdomsskole Bergen AS,I drift,922123470,privatskoleloven
Norges Toppidrettsgymnas Ungdomsskole Bodø AS,I drift,916658184,privatskoleloven
Norges Toppidrettsgymnas Ungdomsskole Bærum AS,I drift,990599068,privatskoleloven
Norges Toppidrettsgymnas Ungdomsskole Kongsvinger AS,I drift,915231160,privatskoleloven
Norges Toppidrettsgymnas Ungdomsskole Lillehammer AS,I drift,915193110,privatskoleloven
Norges Toppidrettsgymnas Ungdomsskole Tromsø AS,I drift,815211162,privatskoleloven
Norheim Vgs AS,I drift,913307534,privatskoleloven
Norlights International School Oslo AS,I drift,998191459,privatskoleloven
Norlights Montessoriskole Drammen AS,I drift,995320266,privatskoleloven
Norlights Montessoriskole Stavanger AS,I drift,913416333,privatskoleloven
Oasen Skole Birkelid AS,I drift,989099736,privatskoleloven
Oasen Skole Grenland AS,I drift,927150646,privatskoleloven
Oasen Skole Mandal AS,I drift,911739410,privatskoleloven
Oasen Skole Strømme AS,I drift,997912950,privatskoleloven
Oasen Skole Vennesla AS,I drift,918462201,privatskoleloven
Oasen Skole Vågsbygd AS,I drift,913416058,privatskoleloven
Oasen videregående Skole AS,I drift,976261011,privatskoleloven
Oks Friskole Sti,I drift,887091552,privatskoleloven
Olavsborg Kristne skole,I drift,998124115,privatskoleloven
Opdøl Montessoriskole AS,I drift,911726548,privatskoleloven
Oslo By Steinerskole Sti,I drift,980879194,privatskoleloven
Oslo private gymnasium AS,I drift,954997332,privatskoleloven
Otto Treider private gymnas AS,I drift,919193298,privatskoleloven
Overhalla Montessoriskole SA,I drift,911724561,privatskoleloven
Plus-Skolen AS,I drift,912155528,privatskoleloven
Reisa montessoriskole,I drift,990586055,privatskoleloven
Ringerike Montessori AS,I drift,916231539,privatskoleloven
Ringerike Steinerskole Sti,I drift,971541865,privatskoleloven
Romerike International School Sti,I drift,915018084,privatskoleloven
Rosendal skole,I drift,976202961,privatskoleloven
Rudolf Steinerskolen Lørenskog Sti,I drift,971523212,privatskoleloven
Rudolf Steinerskolen i Bergen Sti,I drift,971561335,privatskoleloven
Rudolf Steinerskolen i Oslo Sti,I drift,971526246,privatskoleloven
Ryenberget skole,I drift,971526459,privatskoleloven
SHAPE International School,I drift,U90099004,privatskoleloven
Samfundets Skole Dvergsnes AS,I drift,987649275,privatskoleloven
Samfundets Skole Egersund,I drift,974917475,privatskoleloven
Samfundets Skole Oftenes AS,I drift,987649283,privatskoleloven
Samfundets Skole Sentrum AS,I drift,987649348,privatskoleloven
Sandnes Friskole AS,I drift,989066374,privatskoleloven
Sandnes International School AS,I drift,915098584,privatskoleloven
Sandstrand Montessoriforening,I drift,995277174,privatskoleloven
Sandøya montessoriskole,I drift,995197146,privatskoleloven
Sauar friskole,I drift,977090547,privatskoleloven
Seiersborg videregående Skole Follo AS,I drift,924405422,privatskoleloven
Seiersborg videregående Skole Fredrikstad AS,I drift,989632302,privatskoleloven
Senja montessoriskole,I drift,913417208,privatskoleloven
Signo Grunn- og videregående Skole AS,I drift,998560594,privatskoleloven
Skagerak International School Sti,I drift,871496722,privatskoleloven
"Skagerak International School, Tønsberg AS",I drift,821230462,privatskoleloven
Skarnsundet Montessoriskole SA,I drift,924346884,privatskoleloven
Skauen Kristelige skole,I drift,977456436,privatskoleloven
Skaugdalen Montessoriskole SA,I drift,911584891,privatskoleloven
Skodvin montessoriskule,I drift,996129799,privatskoleloven
Snåsa Montessoriskole SA,I drift,989268767,privatskoleloven
Solør Montessoriskole SA,I drift,987372583,privatskoleloven
St Paul skole,I drift,971561688,privatskoleloven
St Sunniva skole,I drift,971527056,privatskoleloven
St. Eystein skole,I drift,987480092,privatskoleloven
St. Franciskus skole,I drift,971548215,privatskoleloven
St. Paul gymnas,I drift,916593473,privatskoleloven
Steinerskolen i Asker Sti,I drift,971522585,privatskoleloven
Steinerskolen i Hurum Sti,I drift,981381300,privatskoleloven
Steinerskolen i Stavanger Sti,I drift,971554940,privatskoleloven
Steinerskolen i Tromsø Sti,I drift,971521430,privatskoleloven
Steinerskolen i Trondheim,I drift,984179782,privatskoleloven
Steinerskolen i Vestfold Sti,I drift,979747187,privatskoleloven
Steinerskolen i Ålesund,I drift,971520787,privatskoleloven
Steinsfjorden Montessoriskole SA,I drift,993926698,privatskoleloven
Stette Friskule SA,I drift,914544238,privatskoleloven
Stiftelsen Arendal International School,I drift,996548562,privatskoleloven
Stiftelsen Asker International School,I drift,998152011,privatskoleloven
Stiftelsen Bodø International School,I drift,930733555,privatskoleloven
Stiftelsen Bærum montessoriskole,I drift,976320409,privatskoleloven
Stiftelsen Davinci montessoriskole,I drift,986775560,privatskoleloven
Stiftelsen Hedemarken Friskole -Ungdom i Oppdrags Kristne grunnskole,I drift,971546417,privatskoleloven
Stiftelsen Heltberg,I drift,958295774,privatskoleloven
Stiftelsen International School Telemark,I drift,985922292,privatskoleloven
Stiftelsen Kongsberg International School,I drift,984545576,privatskoleloven
Stiftelsen Lillehammer steinerskole,I drift,971534818,privatskoleloven
Stiftelsen Lyngdal Kristne grunnskole,I drift,983409946,privatskoleloven
Stiftelsen Maritim videregående Skole Sørlandet,I drift,842872022,privatskoleloven
Stiftelsen Montessoriskolen Lyse,I drift,979554796,privatskoleloven
Stiftelsen Montessoriskolen i Bergen,I drift,982671779,privatskoleloven
"Stiftelsen Møre barne- og Ungdomsskule, Ålesund",I drift,976596471,privatskoleloven
Stiftelsen Møre barne- og ungdomsskule,I drift,987017708,privatskoleloven
Stiftelsen Nyskolen i Oslo,I drift,884715342,privatskoleloven
Stiftelsen Oslo montessoriskole,I drift,971537779,privatskoleloven
Stiftelsen Rudolf Steinerskolen Nesodden,I drift,971521767,privatskoleloven
Stiftelsen Rudolf Steinerskolen i Moss,I drift,958087322,privatskoleloven
Stiftelsen Slottsfjellet videregående steinerskole,I drift,821085942,privatskoleloven
Stiftelsen Soon sjøskole,I drift,977505240,privatskoleloven
Stiftelsen Stavanger Kristne grunnskole,I drift,988832480,privatskoleloven
Stiftelsen Steinerskolen Gjøvik-Toten,I drift,971520620,privatskoleloven
Stiftelsen Steinerskolen i Arendal,I drift,985458030,privatskoleloven
Stiftelsen Steinerskolen i Bærum,I drift,971521902,privatskoleloven
Stiftelsen Steinerskolen i Fredrikstad,I drift,971519479,privatskoleloven
Stiftelsen Steinerskolen i Haugesund,I drift,871556032,privatskoleloven
Stiftelsen Steinerskolen i Indre Østfold,I drift,962222013,privatskoleloven
Stiftelsen Steinerskolen i Kristiansand,I drift,971539615,privatskoleloven
Stiftelsen Steinerskolen i Ås,I drift,976756118,privatskoleloven
Stiftelsen Steinerskolen på Hedemarken,I drift,971533110,privatskoleloven
Stiftelsen Steinerskolen på Rotvoll,I drift,982185831,privatskoleloven
Stiftelsen Steinerskolen på Skjold,I drift,977154677,privatskoleloven
Stiftelsen Steinerskolen på Øvre Romerike/Eidsvoll,I drift,984616570,privatskoleloven
Stiftelsen Steinkjer montessoriskole,I drift,886879822,privatskoleloven
Stiftelsen Telemark Toppidrett gymnas,I drift,988113107,privatskoleloven
Stiftelsen Tromsø International School,I drift,992939257,privatskoleloven
Stiftelsen Trondheim International School,I drift,886847262,privatskoleloven
"Stiftelsen Trondheim Kristne Grunnskole, tomasskolen",I drift,989229575,privatskoleloven
Stiftelsen Trondheim montessoriskole,I drift,916607539,privatskoleloven
Stiftelsen Vollen montessoriskole,I drift,889710632,privatskoleloven
Stiftelsen for Steinerskolen på Nordstrand,I drift,977506832,privatskoleloven
Stiftelsen Østerbo videregående skole,I drift,989568116,privatskoleloven
Stiftinga Tuddal montessoriskule,I drift,920223451,privatskoleloven
Stiftinga Venabygd grendeskule,I drift,986033068,privatskoleloven
Stord Kristne Skule AS,I drift,998189616,privatskoleloven
Strandvik Vekst AS,I drift,911749378,privatskoleloven
Straumfjordnes skole,I drift,971563184,privatskoleloven
Sygna Vgs AS,I drift,988978116,privatskoleloven
Sørhåland Barneskole AS,I drift,896718932,privatskoleloven
Telemark Toppidrett Ungdomsskole Porsgrunn AS,I drift,922079129,privatskoleloven
Telemark Toppidrett Ungdomsskole Skien AS,I drift,915761968,privatskoleloven
The Norwegian School in London,I drift,U90099013,privatskoleloven
Tinn Montessoriskole SA,I drift,995277727,privatskoleloven
Tomb videregående skole,I drift,969738376,privatskoleloven
Torderød Skole Adventistkirkens grunnskole,I drift,976202651,privatskoleloven
Torvikbukt Skule SA,I drift,991978100,privatskoleloven
Toten montessoriskole,I drift,888806512,privatskoleloven
Tresfjord Friskule SA,I drift,922139903,privatskoleloven
Trondheim Idrettsungdomsskole AS,I drift,913383745,privatskoleloven
Trondheim Toppidrettsgymnas Sti,I drift,931497235,privatskoleloven
Tryggheim Skular AS,I drift,989041827,privatskoleloven
Tryggheim Strand AS,I drift,911604736,privatskoleloven
Trysil Montessoriskole SA,I drift,995160439,privatskoleloven
Tveit vidaregåande Skule Sti,I drift,874250732,privatskoleloven
Tverlandet Montessoriskole SA,I drift,928612244,privatskoleloven
Tyrifjord Barne og Ungdomsskole Adventistsamfunnets Grunnskoler,I drift,976203011,privatskoleloven
Tyrifjord videregående skole,I drift,969550105,privatskoleloven
Tønsberg Montessori Skole Sti,I drift,971316500,privatskoleloven
Ulvestad Barneskule AS,I drift,998161576,privatskoleloven
Unge Sjømenns Kristelige Forening,I drift,970230459,privatskoleloven
Val Skoler AS,I drift,989041819,privatskoleloven
Valdres Montessoriskule SA,I drift,993887013,privatskoleloven
Vatneli Skole Adventistkirkens grunnskole,I drift,976202910,privatskoleloven
Velledalen Montessoriskule AS,I drift,995357143,privatskoleloven
Vestborg Vgs AS,I drift,988978132,privatskoleloven
Vigmostad skole,I drift,998127688,privatskoleloven
Vike Montessoriskule SA,I drift,985811733,privatskoleloven
Vikten skole,I drift,971549327,privatskoleloven
Vinnes friskule,I drift,989954784,privatskoleloven
Vinterlandbruksskulen i Ryfylke Sti,I drift,991673032,privatskoleloven
Vinterlandbruksskulen på Jæren Sti,I drift,971557435,privatskoleloven
Voll Skole AS,I drift,818449852,privatskoleloven
Vollan skole,I drift,988962651,privatskoleloven
Vårtun Kristne Oppvekstsenter SA,I drift,989169556,privatskoleloven
Wang AS,I drift,933126013,privatskoleloven
Wang Fredrikstad AS,I drift,988114146,privatskoleloven
Wang Hamar AS,I drift,913308263,privatskoleloven
Wang Romerike AS,I drift,916551045,privatskoleloven
Wang Toppidrett Stavanger AS,I drift,988578533,privatskoleloven
Wang Tønsberg AS,I drift,995350076,privatskoleloven
Wang Ung Follo AS,I drift,918473114,privatskoleloven
Wang Ung Oslo AS,I drift,913893352,privatskoleloven
Wang Ung Sandefjord AS,I drift,918293876,privatskoleloven
Wang Ung Sandnes AS,I drift,916551231,privatskoleloven
Wang Ung Stavanger AS,I drift,916551215,privatskoleloven
Åmot Montessoriskole SA,I drift,914953375,privatskoleloven
Åmås friskule,I drift,987044063,privatskoleloven
Åse og Omegn Privatskolelag,I drift,992463597,privatskoleloven
Ølve Montessoriskule SA,I drift,994517619,privatskoleloven
Ørsnes privatskole,I drift,981065557,privatskoleloven
Østmarka skole,I drift,976203070,privatskoleloven
Øvergård montessoriskole,I drift,990600708,privatskoleloven
Øya videregående skole,I drift,989137913,privatskoleloven
Association Du Lycee Francais Rene Cassin D'oslo,I drift,976837622,opplæringsloven § 2-12
Den Tysk-Norske Skolen i Oslo avd Grunnskole Sporveisgata,I drift,973480634,opplæringsloven § 2-12
International School Of Stavanger Sti,I drift,960496671,opplæringsloven § 2-12
Stiftelse Oslo International School,I drift,976738454,opplæringsloven § 2-12
Stiftelsen International School Of Bergen,I drift,974412020,opplæringsloven § 2-12
Stiftelsen Kristiansand International School,I drift,989331329,opplæringsloven § 2-12
Acta-Imi Kirkens bibelskole,I drift,871547262,Kap. 6A - privatskoleloven
Ansgar Bibelskole AS,I drift,889205512,Kap. 6A - privatskoleloven
Bergen Bibelskole Sti,I drift,912333221,Kap. 6A - privatskoleloven
Bibelskolen Bildøy Bergen AS,I drift,989071483,Kap. 6A - privatskoleloven
Bibelskolen Fjellhaug AS,I drift,989041800,Kap. 6A - privatskoleloven
Bibelskolen Link,I drift,896740202,Kap. 6A - privatskoleloven
Bibelskolen Oslo Kristne Senter Sti,I drift,987091576,Kap. 6A - privatskoleloven
Bibelskolen Substans,I drift,980892158,Kap. 6A - privatskoleloven
Bibelskolen i Grimstad Normisjon,I drift,971517441,Kap. 6A - privatskoleloven
Bibelskolen i Trondheim Sti,I drift,974938170,Kap. 6A - privatskoleloven
Bibelskolen på Fossnes,I drift,988884286,Kap. 6A - privatskoleloven
Credo bibelskole,I drift,887769982,Kap. 6A - privatskoleloven
Evangeliesenterets bibelskole,I drift,974974770,Kap. 6A - privatskoleloven
Filadelfia bibelskole,I drift,974950960,Kap. 6A - privatskoleloven
Fjellheim Bibelskole AS,I drift,988982938,Kap. 6A - privatskoleloven
Josef Akademi AS,I drift,915157068,Kap. 6A - privatskoleloven
Kragerø Kunstskole AS,I drift,993855545,Kap. 6A - privatskoleloven
Lev Bibelskole Sti,I drift,857496892,Kap. 6A - privatskoleloven
Misjonsskolen Gå Ut Senteret,I drift,989129090,Kap. 6A - privatskoleloven
Motio AS,I drift,986254676,Kap. 6A - privatskoleloven
Norsk Yrkesdykkerskole AS,I drift,952564730,Kap. 6A - privatskoleloven
Oslo Fotokunstskole AS,I drift,988545724,Kap. 6A - privatskoleloven
Prosjektskolen AS,I drift,987374969,Kap. 6A - privatskoleloven
Stiftelsen Spin Off Forstudium,I drift,983384315,Kap. 6A - privatskoleloven
Strykejernet Kunstskole AS,I drift,968692798,Kap. 6A - privatskoleloven
Troens Bevis Bibel og Misjons Institutt,I drift,889193352,Kap. 6A - privatskoleloven
Tønsberg Bibelskole AS,I drift,914942276,Kap. 6A - privatskoleloven
Urtehagen videregående Privatskole Sti,I drift,999172520,Kap. 6A - privatskoleloven
