Navn,Lengdegrad,Breddegrad
Vormedal ungdomsskole,5.32473,59.35835
Årnes skole,7.04937,58.14397
Vestby ungdomsskole,10.75655,59.59587
Orstad skule,5.71327,58.78719
Knarvik ungdomsskule,5.28485,60.55075
Sætre skole,9.27369,59.57035
Fossen skole 1.-4. skole,10.71463,60.93959
Rosseland skule,5.65881,58.73078
Veståsen skole,10.99881,60.08327
Sandeåsen skole,10.44942,59.27815
Sørli skole,10.85305,60.0582
Baksalen skole,23.70398,70.65766
Tau ungdomsskole,5.9244,59.06253
Fjellgardane skule,7.35702,59.56405
Øreåsen skole,10.6898,59.4197
Galterud ungdomsskole,10.21767,59.71782
Preståsen skole,11.02658,60.224
Son skole,10.70075,59.51967
Tindlund barneskole,11.04743,59.26904
Kuventræ barneskule,5.44992,60.1955
Bjerkelund skole,7.88101,63.08695
Kvalfjord skole,22.86758,70.31586
Nøkkeland skole,10.69367,59.46867
Hempa skole,10.95774,60.89842
Søbakken skole,11.56712,60.89829
Ulverud skole,10.92189,59.99702
Stigeråsen skole,9.56217,59.21936
Ringshaug ungdomsskole,10.48518,59.28586
Kolltveit skule,5.09486,60.35176
Lista ungdomsskole,6.68879,58.09069
Brumunddal ungdomsskole,10.94033,60.89046
Prestrud skole,11.03548,60.80811
Fjellfoten skole,11.47486811198584, 60.09325570746334                                            # Hentet fra Google Maps
Hauglia skole,11.13453,59.8326
Våk skole,10.79932,59.46137
Kongerød ungdomsskole,9.61931,59.14893
Sandnes barneskole,12.6389,66.01523
Korta skole,10.62781,60.72003
Kopperud skole,10.675547698519159, 60.769190612547646                                          # Hentet fra Google Maps
Sørskogbygda skole,11.78013,60.94274
Bardufoss ungdomsskole,18.48493,69.05278
Vear skole,10.35937,59.25943
Biri ungdomsskole,10.60676,60.95309
Moelv ungdomsskole,10.69321,60.92658
Hannestad barneskole,11.05908,59.27618
Halbrend skule,5.83655509854472057, 61.44983264916853                                        # Hentet fra Google Maps
Nordskogen skole,29.73832,70.64219
Komsa skole,23.27355,69.97356
Ørmelen skole,11.4696,63.7919
Stokkan ungdomsskole,10.92693,63.47748
Selbustrand skole,11.00805,63.26896
Saksvik skole,10.60221,63.43467
Utleira skole,10.42691,63.38923
Kroken skole,19.07032,69.68232
Steigenskolen Leinesfjord,15.01636,67.77695
Brundalen skole,10.47903,63.41788
Averøy ungdomsskole,7.63753,63.05131
Vikse skule,5.30109,59.49905
Husabø ungdomsskole,6.00067,58.44825
Tveiten skole,9.28323,59.54786
Notodden ungdomsskole,9.27249,59.57098
Stridsklev skole,9.66818,59.11123
Hole ungdomsskole,10.28335,60.08624
Vardal ungdomsskole,10.64742,60.78806
Snertingdal skole,10.40377,60.87539
Aronsløkka skole,10.13041,59.7624
Tårnåsen skole,10.82164,59.81314
Heer skole,10.66286,59.68341
Li skole,10.92453,60.00711
Hareid ungdomsskule,6.01901,62.36784
Frakkagjerd ungdomsskole,5.40245,59.41208
Nedstrand barne- og ungdomsskule,5.79855,59.34885
Lyngdal ungdomsskole,7.06688,58.13596
Rosseland skole,7.85799,58.13409
Tinnesmoen skole,9.2587,59.57174
Hov ungdomsskole,10.26551,60.18284
Søndre Land ungdomsskole,10.3551,60.68401
Skreia ungdomsskole,10.92863,60.65135
Ringebu ungdomsskole,10.14499,61.52693
Bjørnsveen ungdomsskole,10.67368,60.81253
Risør ungdomsskole,9.21926,58.71466
Løkenåsen skole,10.9663,59.92254
Åsen skole,10.96625,59.92385
Rakkestad ungdomsskole,11.3502,59.42542
Heddal ungdomsskole,9.21115,59.5696
Lakselv ungdomsskole,24.9682,70.04929
Lenangen skole,20.02501,69.81293
Kurland barneskole,11.11057,59.29488
Døli skole,11.16778,60.13775
Bakke skole,11.13171,60.06967
Lovisenberg skole,11.16559,60.79535
Eidskog ungdomsskole,12.12609,59.98401
Fjell skole,10.22384,59.72012
Nordre Modum ungdomsskole,9.9964,59.97213
Søndre Modum ungdomsskole,9.93139,59.89376
Bø ungdomsskule,9.05437,59.41567
Kvinesdal ungdomsskole,6.96356,58.31034
Sveio skule,5.35825,59.54396
Våge skule,5.22797,59.72157
Kleppestø ungdomsskole,5.2194,60.41565
Kleppestø barneskole,5.22013,60.41167
Florø ungdomsskule,5.01928,61.59798
Eivindvik skule,5.08984,60.98392
Brekke skule,5.45365,61.01391
Førde ungdomsskule,5.86676,61.45473
Brattvåg ungdomsskule,6.43928,62.59709
Straumsnes barne- og ungdomsskole,8.03944,63.03599
Charlottenlund ungdomsskole,10.48948,63.42664
Høknes ungdomsskole,11.5212,64.4725
Bangsund skole,11.39726,64.39193
Namsos ungdomsskole,11.51167,64.47115
Egge barneskole,11.48304,64.02908
Steinkjer ungdomsskole,11.51237,64.01892
Kvislabakken skole,10.8984,63.4827
Lauvsnes skole,10.90633,64.4976
Sandnessjøen ungdomsskole,12.60185,66.01456
Kippermoen ungdomsskole,13.22826,65.8301
Haraldsvang skole,5.28243,59.42363
Ulstein ungdomsskule,5.85405,62.34507
Siljan ungdomsskole,9.73361,59.28298
Vestfossen ungdomsskole,9.86724,59.73058
Giske ungdomsskule,6.1325,62.50229
Halsen ungdomsskole,10.92746,63.47124
Sauland skule,8.93067,59.62061
Gossen barne- og ungdomsskole avd skole,6.88232,62.80669
Dovre ungdomsskole,9.11999,62.07524
Austafjord skole,10.94254,64.91798
Selje skule,5.34878,62.04279
Vegårshei skule,8.86074,58.75255
Nordsia oppvekstsenter skole,15.733643714128238,67.58467375719414                                      # Hentet fra Google Maps
Namdalseid skole,11.20748,64.24039
Hallset skole,10.36733,63.39265
Volda ungdomsskule,6.07829,62.14688
Åheim skule,5.53312,62.03578
Sula ungdomsskule,6.21171,62.44003
Sande skule,5.79861,61.32571
Luster ungdomsskule,7.29216,61.40486
Kvåle skule,7.08139,61.23181
Voss ungdomsskule,6.42011,60.62674
