Navn,Lengdegrad,Breddegrad
Melsom videregående skole,10.347035329150316,59.23017281651141                             # Hentet fra Google Maps
Thor Heyerdahl videregående skole,10.05533,59.04936
Sandefjord videregående skole,10.20438,59.13322
Nøtterøy videregående skole,10.40418,59.22449
Greveskogen videregående skole,10.41509,59.2873
Setesdal vidaregåande skule,7.7698,58.56753
Setesdal vidaregåande skule,7.7698,58.56753
Østre Agder videregående skole,8.9228,58.6147
Dahlske videregående skole,8.57796,58.33792
Arendal videregående skole avd Tyholmen,8.76405,58.45801
Tvedestrand videregående skole,8.9228,58.6147
Lillesand videregående skole,8.36271,58.26014
Arendal videregående skole avd Barbu,8.7699,58.46306
Sam Eyde videregående skole,8.72349,58.48112
Risør videregående skole,9.21836,58.72046
Sentrum videregående skole avd Skarnes,11.66594,60.25842
Stange videregående skole,11.20137,60.71572
Jønsberg videregående skole,11.20791,60.75142
Storsteigen videregående skole,10.62505,62.1107
Trysil videregående skole,12.25628,61.31078
Solør videregående skole,11.80244,60.71085
Øvrebyen videregående skole,12.00839,60.19498
Sentrum videregående skole,12.00186,60.19053
Storhamar videregående skole,11.03982,60.79774
Hamar katedralskole,11.05426,60.80586
Elverum videregående skole,11.56338,60.87703
Ringsaker videregående skole,10.93882,60.89159
Måløy vidaregåande skule,5.17102,61.91866
Firda vidaregåande skule,6.22051,61.77388
Stryn vidaregåande skule,6.7142,61.90342
Flora vidaregåande skule,5.04355,61.59389
Dale vidaregåande skule,5.39802,61.3567
Førde vidaregåande skule,5.85221,61.45628
Hafstad videregående skule,5.86422,61.44991
Høyanger vidaregåande skule,6.07972,61.22295
Sogndal vidaregåande skule,7.08405,61.2322
Nome videregående skole avd Søve,9.28405,59.27896
Skogmo videregående skole,9.62081,59.17342
Bamble videregående skole,9.70321,59.02761
Hjalmar Johansen videregående skole,9.5966,59.18583
Nome videregående skole avd Lunde,9.1065,59.30075
Vest-Telemark vidaregåande skule,7.98769,59.44661
Skien videregående skole,9.61431,59.19934
Porsgrunn videregående skole,9.66904,59.13845
Notodden videregående skole,9.25771,59.5553
Kragerø videregående skole,9.392281784956978,58.87155438733069                           # Hentet fra Google Maps
Bø vidaregåande skule,9.06299,59.41713
Inderøy videregående skole,11.28629,63.87729
Grong videregående skole,12.31375,64.46179
Meråker videregående skole,11.73105,63.41412
Johan Bojer videregående skole Skolested Leksvik,10.62014,63.67762
Verdal videregående skole,11.50183,63.79658
Ytre Namdal videregående skole,11.23346,64.86961
Ole Vig videregående skole,10.932,63.4733
Olav Duun videregående skole,11.54161,64.47201
Levanger videregående skole,11.28725,63.74289
Steinkjer videregående skole,11.5156,64.02004
Tiller videregående skole,10.38046,63.35765
Malvik videregående skole,10.6287,63.43669
Røros videregående skole,11.36926,62.57687
Orkland videregående skole avd Løkken,9.70122,63.10706
Skjetlein videregående skole,10.30219,63.34099
Selbu videregående skole,11.0348,63.22922
Oppdal videregående skole,9.67611,62.59729
Åfjord videregående skole,10.22163,63.96519
Johan Bojer videregående skole Skolested Rissa,9.95796,63.58751
Guri Kunna videregående skole avd Hitra,8.97691,63.60257
Guri Kunna videregående skole,8.83039,63.73064
Heimdal videregående skole,10.35222,63.36494
Gauldal videregående skole,10.28741,63.03613
Fosen videregående skole,9.81935,63.76571
Orkdal vidaregåande skole,9.84445,63.28257
Trondheim katedralskole,10.39568,63.42865
Stend vidaregåande skule,5.33048,60.27235
Fitjar vidaregåande skule,5.32093,59.9203
Austevoll vidaregåande skule,5.26328,60.08635
Fyllingsdalen videregående skole,5.28765,60.34743
Os vidaregåande skule,5.44271,60.19641
Sotra vidaregåande skule,5.109,60.35192
Askøy videregående skole,5.222522898505939,60.41602007676747                        # Hentet fra Google Maps
Fagskulen Vestland Nordnes,5.30622,60.39811
Austrheim vidaregåande skule,4.93731,60.78852
Årstad videregående skole,5.34041,60.37493
Åsane vidaregåande skule,5.32159,60.46771
Arna vidaregåande skule,5.46022,60.44256
Laksevåg og Bergen Maritime videregående skole,5.33362,60.38542
Knarvik vidaregåande skule,5.28198,60.55025
Slåtthaug videregående skole,5.35763,60.30955
Rubbestadnes vidaregåande skule,5.26287,59.818
Odda vidaregåande skule,6.54637,60.0564
Kvinnherad vidaregåande skule,5.74276,59.85059
Osterøy vidaregåande skule,5.511059761047363,60.52241096130478
Sandsli videregående skole,5.27893,60.29155
Ølen vidaregåande skule,5.81603,59.60671
Bømlo vidaregåande skule,5.18866,59.79298
Langhaugen videregående skole,5.36216,60.36253
Tertnes vidaregåande skule,5.31261,60.45505
Kvam vidaregåande skule,6.19281,60.3878
Stord vidaregåande skule,5.4924,59.77658
Os gymnas,5.45895,60.19509
Nord-Troms videregående skole avd Nordreisa,20.99711,69.7695
Nord-Troms videregående skole avd Skjervøy,20.97357,70.02739
Nordkjosbotn videregående skole,19.57103,69.21803
Kvaløya videregående skole,18.79169,69.68463
Breivang videregående skole,18.96432,69.67792
Tromsdalen videregående skole,19.01453,69.6519
Bardufoss videregående skole,18.4854,69.05501
Sjøvegan videregående skole,17.84608,68.87337
Stangnes Rå videregående skole avd Stangnes,16.58307,68.78587
Kongsbakken videregående skole,18.94899,69.64987
Senja videregående skole avd Finnfjordbotn,18.09616,69.23249
Heggen videregående skole,16.52521,68.79385
Halden videregående skole,11.3944,59.12551
Malakoff videregående skole,10.6687,59.42746
Kirkeparken videregående skole,10.66324,59.43525
Kalnes videregående skole,11.04689,59.31462
Mysen videregående skole,11.32926,59.55716
Askim videregående skole,11.1606,59.57524
Greåker videregående skole,11.02811,59.27582
Glemmen videregående skole,10.94182,59.21894
Frederik Ii videregående skole,10.93019,59.22177
Tana videregående skole,28.24599,70.43763
Stangnes Rå videregående skole avd Rå,16.177,68.77489
Narvik videregående skole,17.40187,68.43836
Hardanger produksjonsskule,6.92671,60.56202
Smi-Skolen i Arendal,8.7576,58.46647
Norges brannskole,16.513027383479155,68.55334817425816                        # Hentet fra Google Maps
Kirkeveien videregående skole,10.73706,59.93694
Holmen skole Grunnskole/Videregående skole,10.48746,59.86594
Nord-Østerdal videregående skole,10.77185,62.27007
Mølla videregående skole,10.75041,59.91819
Nettskolen Vestfold,10.3996,59.27421
Fram videregående skole,10.79786,59.91581
Eksamenskontoret Innlandet,11.0827,60.79515
Nettskolen Innlandet,11.0827,60.79515
Nettskolen Møre og Romsdal,7.15085,62.73458
Orkland videregående skole,9.84445,63.28257
Nettskolen Rogaland,6.01065,58.4648
Eksamenskontoret i Østfold,11.1059,59.27503
Eksamenskontoret i Buskerud,10.18914,59.74837
Eksamenskontoret i Akershus,10.75562,59.912
Sommerschild skole,10.399162583276196, 63.42955015672339                                        # Hentet fra Google Maps
Oslo Vo Hovinbyen,10.81535,59.92694
Nettskolen Troms,18.94315,69.64468
Privatisteksamen,5.33231,60.38656
Trøndelag privatistskole,10.39416,63.42914
Karriere Innlandet Sør-Østerdal,11.56338,60.87703
Karriere Innlandet Nord-Østerdal,10.77185,62.27007
Karriere Innlandet Lillehammer,10.462337146945481, 61.11607003815866                            # Hentet fra Google Maps
Karriere Innlandet Kongsvinger,12.00186,60.19053
Karriere Innlandet Hamar,11.03982,60.79774
Karriere Innlandet Hadeland,10.5768,60.35526
Karriere Innlandet Gudbrandsdal,9.73426,61.59814
Karriere Innlandet Gjøvik,10.67725,60.78582
Longyearbyen skole videregående Avdeling,15.61161,78.21022
Johan Bojer videregående skole,10.22129,63.55291
Karriere Agder Lyngdal,7.1026326695868645, 58.15599446544414                                    # Hentet fra Google Maps
Smi-Skolen i Agder,7.99417,58.15105
Trøndelag nettskole,10.36376,63.39538
Cissi Klein videregående skole,10.4606,63.43646
Karriere Agder Kristiansand,7.99417,58.15105
Vetland videregående skole,10.84289,59.89785
Charlottenlund videregående skole avd Trondheim Fengsel,10.47542020785083, 63.420928785727895   # Hentet fra Google Maps
Vika videregående skole,10.72413,59.91304
Øystre Slidre Lærlingeverksemda,9.07921,61.13364
Sjøforsvarets fagskole,5.22002,60.34
Horten videregående skole,10.4882,59.42084
Trondheim voksenopplæringssenter videregående skole,10.3977,63.40531
Privatistkontoret i Nordland,14.37639,67.28044
Ung Invest Aib avd Hallingdal,8.93105,60.70338
Sentralskolen Trøndelag,11.48188,64.01443
Trøndelag voksenopplæring Inntak,11.49456,64.01295
Stavanger Offshore Tekniske skole,5.71446,58.98268
Karriere Agder Arendal,8.76689,58.46442
Valle Hovin videregående skole,10.80622,59.91872
Voss vidaregåande skule,6.43715,60.65025
Ishavsbyen videregående skole,18.98122,69.67969
Hyssingen produksjonsskole,5.35242,60.37888
Bryne vidaregåande skule,5.65021,58.73236
Nettskolen i Nordland,14.37639,67.28044
Privatistkontoret i Rogaland,5.73109,58.96485
Mosjøen videregående skole avd Hattfjelldal,14.00045,65.59787
Knut Hamsun videregående skole avd Steigen,15.01489,67.77703
Blindern videregående skole,10.7293,59.95015
Edvard Munch videregående skole,10.74356,59.91863
Hersleb videregående skole,10.76403,59.91813
Kuben videregående skole,10.817072783143667,59.92811194869552                                      # Hentet fra Google Maps
Smi-Skolen i Kristiansand,7.98128,58.16383
Møllehagen skolesenter grunnskole og videregående skole,5.73619,58.94843
Sauda vidaregåande skule,6.35914,59.65353
Hammerfest videregående skole,23.66363,70.67067
Meløy videregående skole avd Inndyr,14.01966,67.03575
Sandnessjøen videregående skole,12.60056,66.01428
Ung Invest Aib avd Kongsberg,9.62747,59.6781
Drammen videregående skole,10.19823,59.73728
Lillehammer videregående skole avd Sør,10.46977,61.11225
Tangen videregående skole,8.00823,58.14779
Eilert Sundt videregående skole Studiested Farsund,6.80465,58.09324
Oslo katedralskole,10.7416,59.92115
Sørumsand videregående skole,11.23899,59.988
Valler videregående skole,10.52695,59.90128
Volda vidaregåande skule,6.07265,62.15003
Re videregående skole,10.24864,59.35823
Holmestrand videregående skole,10.29539,59.48262
Tvedestrand videregående skole avd Holt,8.87452,58.60577
Setesdal vidaregåande skule,7.7698,58.56753
Storsteigen videregående skole avd Nordstumoen,11.00258,61.56765
Solør videregående skole avd Flisa,12.01706,60.61261
Sogn Jord- og hagebruksskule,7.20043,60.90251
Eid vidaregåande skule,5.98325,61.91355
Årdal vidaregåande skule,7.80015,61.30843
Rjukan videregående skole,8.58048,59.87794
Mære landbruksskole,11.39006,63.93661
Melhus videregående skole,10.26359,63.28501
Kyrksæterøra videregående skole,9.08064,63.29125
Bergen Maritime videregående skole,5.33362,60.38542
Fusa vidaregåande skule,5.74873,60.23897
Bergen katedralskole,5.33084,60.3934
Senja videregående skole avd Gibostad,18.07357,69.35298
St. Olav videregående skole,11.1046,59.28086
Borg videregående skole,11.17426,59.26577
Kongsskogen videregående skole,10.78992,59.91474
Eikelund videregående skole,10.76402,59.9503
Oslo voksenopplæring Rosenhof,10.77547,59.93087
Ryfylke utdanningssenter Iks,6.16496,59.23292
Nettskolen i Agder,7.99013,58.14841
Karriere Innlandet Valdres,9.30411,60.97087
Nettskulen i Vestland,5.28273,60.29385
Voss gymnas,6.42605,60.62695
Fagopplæringen i Rogaland,5.73109,58.96485
Sortland videregående skole avd Øksnes,15.08716,68.91776
