Navn,Breddegrad,Lengdegrad,Organisasjonsnummer
Steinerskolen i Fredrikstad,59.26662,10.9979,973073214
Steinerskolen i Haugesund,59.41864,5.29963,974146371
Steinerskolen i Hurum Sti,59.63306,10.4958,974185385
Steinerskolen i Moss Grunnskole/Adm,59.46358,10.69718,973075373
Steinerskolen i Tromsø Sti,69.64095,18.93474,873441852
Steinerskolen i Trondheim grunnskole,63.43064,10.3729,974127016                                                                 # Hentet fra Google Maps
Steinerskolen i Vestfold,59.23991,10.39467,973141791
Steinerskolen i Ås,59.68657,10.81147,973501186
Steinerskolen på Eidsvoll,60.28651,11.24116,884791162
Steinerskolen på Hedemarken avd grunnskolen Ottestad,60.77756,11.1034,973125508
Steinerskolen på Nordstrand,59.86193,10.79022,977509777
Steinerskolen Ålesund,62.46194,6.26629,973443143
Steinkjer montessoriskole,64.01442,11.47801,986967257
Steinsfjorden montessoriskole SA,60.12857,10.3514,917425817
Stette friskule SA,62.52422,6.60443,917370133
Stiftelsen Asker International School,59.82971,10.41732,998258383
Stiftelsen Bodø International School,67.29175,14.58755,930748137                                                                    # Hentet fra Google maps
Stiftelsen Bærum montessoriskole,59.90689,10.57955,976429184
Stiftelsen Davinci montessoriskole,60.36518,5.34799,986847367                                                                       # hentet fra Google Maps
Stiftelsen Den Tysk-Norske skolen i Oslo avd grunnskole og videregående,59.93637,10.75914,930591548
Stiftelsen International School Telemark,59.10553,9.68147,986171487
Stiftelsen Kongsberg International School,59.67608,9.64268,886086202                                                                # Hentet fra Google Maps
Stiftelsen Lillehammer steinerskole,61.09985,10.42448,974175762
Stiftelsen Lyngdal Kristne grunnskole,58.12961,7.06781,983681123
"Stiftelsen Møre barne- og Ungdomsskule, Ålesund",62.43412,6.39917,876599112
Stiftelsen Tromsø International School,69.6814,18.96618,993630705
Stiftelsen Trondheim International School,63.42935,10.41373,986859659
"Stiftelsen Trondheim Kristne Grunnskole, tomasskolen",63.42935,10.41373,982722861
Stiftelsen Vollen montessoriskole,59.80523,10.47667,984666675                                                                   # Hentet fra Google Maps
Stiftelsen montessoriskolen Lyse,59.93125,10.6429,979718403
Stiftelsen montessoriskolen i Bergen,60.34414,5.28364,974223384
Stiftelsen steinerskolen Rotvoll,63.43889,10.48563,982196574
